driver_id,driver_name,outperforming_car,driver_share_mean,team_share_mean,avg_pred_perf,starts,p_win_mean
ALB,Alexander Albon,0.6802457320842727,0.8843841274149224,0.11561587258507752,0.5181801269015343,151,0.02188813360894907
HUL,Nico Hülkenberg,0.6397366429592557,0.7744186533122129,0.22558134668778698,1.020818822508773,159,0.07680709714101273
TSU,Yuki Tsunoda,0.6008212824810883,0.7733314302589943,0.2266685697410057,0.4465842296327564,158,0.022757331581522426
BOT,Valtteri Bottas,0.5299003751078387,0.7482504735543027,0.2517495264456972,0.8919933914990498,156,0.0524043181488174
ZHO,Zhou Guanyu,0.5072978131736686,0.7621399890443901,0.23786001095560988,0.8063951958958285,161,0.04377407285634272
STR,Lance Stroll,0.4956103265838235,0.7469716732049608,0.25302832679503917,1.0259000291129141,160,0.08805422526293223
MAG,Kevin Magnussen,0.44552411990144875,0.7701566121111599,0.22984338788884012,0.725247374146115,163,0.03786620121441147
ALO,Fernando Alonso,0.43331315105354196,0.7281754724494458,0.27182452755055414,0.9670954140053611,157,0.07820719940678908
SAI,Carlos Sainz,0.4091245453071747,0.7342682882448042,0.26573171175519583,0.860514099878505,163,0.04877979697557457
LAW,Liam Lawson,0.38032646893818023,0.6896609718065939,0.3103390281934061,1.0205911072043052,161,0.08801677516539605
SAR,Logan Sargeant,0.36960117094047806,0.6880532318564844,0.31194676814351563,0.9761124384092603,155,0.06851739477510249
NOR,Lando Norris,0.2994328272095908,0.6560274729687262,0.3439725270312738,0.8434963017777178,160,0.04632014114743578
HAM,Lewis Hamilton,0.25896749458188506,0.6303570996972553,0.3696429003027447,0.9335553051373404,152,0.05791981100020867
RUS,George Russell,0.23220792458921105,0.6268110077155478,0.3731889922844523,0.9072191508263597,157,0.05447174370922241
PIA,Oscar Piastri,0.14641522553763578,0.603021632565816,0.396978367434184,0.6823636370404683,159,0.029954982984515977
DRI,Daniel Ricciardo,0.0809302935772048,0.52155301468994,0.4784469853100601,0.38807762890845715,14,0.013953801116419048
MSC,Mick Schumacher,0.07174976335396445,0.5289013826403379,0.471098617359662,0.7966372503389386,13,0.038092553093134154
GAS,Pierre Gasly,-0.055264747087848114,0.47139951048085443,0.5286004895191455,0.9196949134968092,154,0.057478119288116025
RIC,Robert Kubica,-0.05663039454722102,0.47967088709491745,0.5203291129050825,0.5920033803869151,15,0.022074973932922168
OCO,Esteban Ocon,-0.10272116864640371,0.4351724767693227,0.5648275232306773,0.8589982724320107,156,0.04790286324099653
LEC,Charles Leclerc,-0.15412627859709127,0.37559421368197193,0.6244057863180281,0.24301012096459346,157,0.013460393618622085
DEV,Nyck de Vries,-0.20782493135860694,0.3467295733732709,0.6532704266267291,0.46034143584744763,16,0.014590621851955397
PER,Sergio Pérez,-0.6559698139915726,0.17912417467729802,0.820875825322702,1.0278582827338545,159,0.08125512872690419
VER,Max Verstappen,-0.726184940109273,0.12669489480336113,0.8733051051966388,0.9443956001615312,158,0.0606132160126578
