driver_id,driver_name,street,wet,outperforming_car,driver_share_mean,starts
ALB,Alexander Albon,0,0,0.14892002053276565,0.586848423491025,53
ALB,Alexander Albon,0,1,0.14069861724726662,0.6299211627111512,27
ALB,Alexander Albon,1,0,0.1022492392148892,0.5261656777148929,13
ALB,Alexander Albon,1,1,0.11355938325195271,0.5334020548817475,13
ALO,Fernando Alonso,0,0,0.6074686731322911,0.7903864607137284,49
ALO,Fernando Alonso,0,1,0.49418627777397195,0.7555500878817618,28
ALO,Fernando Alonso,1,0,0.5363288556431418,0.7773709391839564,14
ALO,Fernando Alonso,1,1,0.5689890176111786,0.7722602454934246,17
BOT,Valtteri Bottas,0,0,0.27826887614486456,0.6545342250410271,49
BOT,Valtteri Bottas,0,1,0.24102297524089764,0.6346183201855177,26
BOT,Valtteri Bottas,1,0,0.306887471265718,0.6712443423642067,13
BOT,Valtteri Bottas,1,1,0.2879291959995173,0.6634124861437871,18
DEV,Nyck de Vries,0,0,-0.29977253898559514,0.19037112876925877,4
DEV,Nyck de Vries,0,1,0.002290832410061239,0.5592270563262447,2
DEV,Nyck de Vries,1,0,-0.3395442033113946,0.0209714671932193,1
DEV,Nyck de Vries,1,1,-0.02824936433678321,0.46862353069247414,5
DRI,Daniel Ricciardo,0,0,-0.05912265044200727,0.43018388597785523,5
DRI,Daniel Ricciardo,1,0,-0.12007341397825158,0.4414966149745444,2
DRI,Daniel Ricciardo,1,1,-0.02112032988726802,0.5348860941959309,4
GAS,Pierre Gasly,0,0,0.35252337979189124,0.684783359328564,56
GAS,Pierre Gasly,0,1,0.33027086379705783,0.6796130773610389,29
GAS,Pierre Gasly,1,0,0.3382964050758698,0.680012672330326,14
GAS,Pierre Gasly,1,1,0.2725674877797059,0.6519343247358123,10
HAM,Lewis Hamilton,0,0,0.05950587111435146,0.5281291529661547,48
HAM,Lewis Hamilton,0,1,0.004540088299924671,0.4927166211071428,27
HAM,Lewis Hamilton,1,0,0.030042184272063992,0.5073886656399211,15
HAM,Lewis Hamilton,1,1,0.020818937985327655,0.4906882455131917,16
HUL,Nico Hülkenberg,0,0,0.3132385404255275,0.6740996646806428,52
HUL,Nico Hülkenberg,0,1,0.2807809567326974,0.653148639241254,29
HUL,Nico Hülkenberg,1,0,0.3009207064086861,0.6677734183385873,15
HUL,Nico Hülkenberg,1,1,0.3392532633598805,0.6865128053009492,14
LAW,Liam Lawson,0,0,0.49812238858258134,0.75633945666684,52
LAW,Liam Lawson,0,1,0.43244460262285483,0.7250375399152564,29
LAW,Liam Lawson,1,0,0.4829548619116581,0.7477315566249682,14
LAW,Liam Lawson,1,1,0.4563401957625601,0.7356437596705301,16
LEC,Charles Leclerc,0,0,0.03291604045858931,0.5628366785729519,53
LEC,Charles Leclerc,0,1,-0.05731408373587362,0.41260866696946674,27
LEC,Charles Leclerc,1,0,0.013596189862670695,0.5485040865046623,13
LEC,Charles Leclerc,1,1,0.023858922344450327,0.5657120569772898,13
MAG,Kevin Magnussen,0,0,-0.8353322849847531,0.21937585142563382,52
MAG,Kevin Magnussen,0,1,-0.7063390900096409,0.24347006978552652,29
MAG,Kevin Magnussen,1,0,-0.7653166989337581,0.23803735152849376,15
MAG,Kevin Magnussen,1,1,-0.7439818872799641,0.22264126507238516,17
MSC,Mick Schumacher,0,0,0.0450411274657541,0.5184072211815749,3
MSC,Mick Schumacher,0,1,-0.26962177545176713,0.1072271212940017,1
MSC,Mick Schumacher,1,0,-0.19120051780017652,0.2681640316738657,2
MSC,Mick Schumacher,1,1,0.06883663170584726,0.5298981994452832,5
NOR,Lando Norris,0,0,0.15369051008195905,0.5872536391518117,52
NOR,Lando Norris,0,1,0.11728863901488734,0.5610438979361858,29
NOR,Lando Norris,1,0,0.12028777342398274,0.5644022991392741,14
NOR,Lando Norris,1,1,0.15402054771642226,0.5530236487804467,18
OCO,Esteban Ocon,0,0,0.2911200338757986,0.6550951641239444,52
OCO,Esteban Ocon,0,1,0.23895320592300195,0.6251625518496815,29
OCO,Esteban Ocon,1,0,0.2837421162461743,0.6504993621969065,14
OCO,Esteban Ocon,1,1,0.27647724264739687,0.6355545249993501,15
PER,Sergio Pérez,0,0,-0.00958023139465622,0.4958873908686904,56
PER,Sergio Pérez,0,1,-0.021627160523522627,0.4872631874420485,30
PER,Sergio Pérez,1,0,-0.013901464323423382,0.4923618021064966,13
PER,Sergio Pérez,1,1,0.0013701166547869861,0.5041648954426141,16
PIA,Oscar Piastri,0,0,0.11766705282435935,0.5768488542449424,54
PIA,Oscar Piastri,0,1,0.10159957289266011,0.5761966428301629,28
PIA,Oscar Piastri,1,0,0.14478570039164118,0.6027491689586493,13
PIA,Oscar Piastri,1,1,0.09252284459928241,0.5681363360350971,15
RIC,Robert Kubica,0,0,0.075460872060716,0.503637899507311,4
RIC,Robert Kubica,0,1,-0.12213897066241353,0.23050703199937986,2
RIC,Robert Kubica,1,0,-0.10753712685602436,0.43541384206062367,2
RIC,Robert Kubica,1,1,0.04685894685633878,0.6117789880427652,4
RUS,George Russell,0,0,0.09419460212237185,0.5479256512169034,54
