driver_id,driver_name,outperforming_car,driver_share_mean,team_share_mean,avg_pred_perf,starts,p_win_mean
STR,Lance Stroll,0.6714757040112935,0.8046646861919066,0.19533531380809352,0.9926894901396676,112,0.07910748927672795
ALO,Fernando Alonso,0.5628203522180324,0.7768144107187559,0.2231855892812441,0.8982016826535366,108,0.06746625684803124
SAI,Carlos Sainz,0.49357217267084563,0.7634859962558408,0.23651400374415915,0.9278034447738376,116,0.060899740473520106
LAW,Liam Lawson,0.4730276475794702,0.7440926337990644,0.25590736620093557,1.0139135847576153,111,0.0903960594092995
SAR,Logan Sargeant,0.4648379784400145,0.7444289747249837,0.25557102527501624,0.9792120698552201,104,0.07215256529786637
GAS,Pierre Gasly,0.3374402648377965,0.6797813580353432,0.3202186419646568,0.9534367448974944,109,0.06424142773997425
HUL,Nico Hülkenberg,0.3063128011867661,0.6692933968243808,0.3307066031756192,0.9199214623858744,110,0.06338733213842335
OCO,Esteban Ocon,0.27443120909514523,0.6439542862166618,0.3560457137833381,0.8634628147349602,110,0.052022497800145694
BOT,Valtteri Bottas,0.2742833485076165,0.6532061750297797,0.3467938249702203,0.8736529222912612,106,0.05479913521608509
NOR,Lando Norris,0.1402626171904864,0.572243541080013,0.427756458919987,0.7857381678312353,113,0.041707013517672725
ALB,Alexander Albon,0.13676543250926154,0.5838228147356768,0.4161771852643232,0.45219693730178206,106,0.01841212094761565
PIA,Oscar Piastri,0.11335332425082235,0.5785557124132759,0.42144428758672414,0.7455088378086324,110,0.03869428492244549
RUS,George Russell,0.09121429826374243,0.5467998743486593,0.4532001256513407,0.9840744846859794,108,0.06871520714868838
HAM,Lewis Hamilton,0.03549622612672678,0.5105225474063978,0.48947745259360226,0.907744842452633,106,0.05575291090296676
TSU,Yuki Tsunoda,0.03172278313338964,0.5453665450664256,0.4546334549335744,0.33625823030519963,108,0.018491635710861307
MSC,Mick Schumacher,0.014530507963062385,0.4741429602779133,0.5258570397220867,0.6791957248471902,11,0.031935025800093025
RIC,Robert Kubica,0.014201074101794204,0.49965109697094834,0.5003489030290517,0.4742083451630728,12,0.018539814053966878
LEC,Charles Leclerc,0.006452701340841689,0.5231659229981833,0.47683407700181674,0.3840801363878383,106,0.019200286297993557
PER,Sergio Pérez,-0.011687869074211646,0.4943907066641252,0.5056092933358748,0.9958569632442628,115,0.0772520136535477
VER,Max Verstappen,-0.04345766808937284,0.47700118608620984,0.5229988139137902,0.9458140624492561,112,0.06467205456192716
DRI,Daniel Ricciardo,-0.05570131462990859,0.48034687357622813,0.5196531264237719,0.5360460509845969,11,0.018341271535028503
DEV,Nyck de Vries,-0.16096271603274656,0.33425642577323195,0.665743574226768,0.3755382032092904,12,0.011269685141712827
ZHO,Zhou Guanyu,-0.6396230713039736,0.11893669407136441,0.8810633059286356,0.7507701787442815,111,0.03904682264678161
MAG,Kevin Magnussen,-0.7791907521880753,0.22852777059355026,0.7714722294064498,0.6353587377298414,113,0.031335783755053075
