driver_id,mean,hdi_3%,hdi_97%
ALB,0.10243722839709714,-0.9367274799720512,1.0964501440459922
ALO,0.09401267064256731,-0.9367588677884637,1.235673699060197
BOT,0.21847190006338021,-0.5375384133679111,0.9869777165669811
DEV,-0.03837434434945006,-1.022523246071488,0.9009328577940713
DRI,0.022047273092324158,-0.913658488300208,0.9579023685145459
GAS,0.2679589830002242,-0.4922066777751709,0.9795935609114784
HAM,0.19539799561481028,-0.5950821213163786,0.9238791928847363
HUL,0.15751875091588521,-0.8577270720751574,1.1626752763477002
LAW,0.10232739833083603,-0.984805153737362,1.2089377384798796
LEC,0.010368287012953432,-1.0374408717555215,1.0077370163212211
MAG,0.10111779519921184,-0.9006880638426775,1.0762117066984673
MSC,0.0889811415020489,-0.6625336650985981,0.8937619175992474
NOR,0.2139172606587849,-0.749470042422002,1.117598677956518
OCO,0.2082524290309553,-0.6179511073670915,1.0392009170847558
PER,0.08870062287383945,-0.951815289245502,1.152878615780605
PIA,0.12019263049973918,-0.835884535409691,1.113637983504496
RIC,-0.031335242307996065,-0.8914291743584583,0.7999312544317241
RUS,0.21970644015221602,-0.5351896532053332,1.0000044467009084
SAI,0.2936028234055522,-0.5609181366183337,1.155086123749983
SAR,0.16491149689823947,-0.8487018167619622,1.1899168280471322
STR,0.11183421638573578,-0.9765900489829824,1.236931814225181
TSU,0.012256740811904906,-1.0920998205236565,1.0925722084819354
VER,0.23293999227045006,-0.6772779051256355,1.12816213080339
ZHO,0.2024840188010364,-0.7083760026936473,1.185581327828837
