variant,prior_sd_driver,prior_sd_team,infer,use_street,use_wet,use_gridc,season_min,season_max,drivers_kendall_tau,drivers_spearman_rho,drivers_overlap_n,constructors_kendall_tau,constructors_spearman_rho,constructors_overlap_n
prior_d_0.10,0.1,0.15,advi,True,True,True,,,0.9710144927536233,0.9965217391304346,24,0.9999999999999999,0.9999999999999999,10
prior_d_0.30,0.3,0.15,advi,True,True,True,,,0.9710144927536233,0.9965217391304346,24,0.9999999999999999,0.9999999999999999,10
prior_t_0.10,0.2,0.1,advi,True,True,True,,,0.9710144927536233,0.9965217391304346,24,0.9999999999999999,0.9999999999999999,10
prior_t_0.25,0.2,0.25,advi,True,True,True,,,0.9855072463768115,0.9982608695652172,24,0.9999999999999999,0.9999999999999999,10
no_street,0.2,0.15,advi,False,True,True,,,0.5144927536231884,0.6234782608695651,24,0.6444444444444444,0.7212121212121211,10
no_wet,0.2,0.15,advi,True,False,True,,,0.5144927536231884,0.6182608695652172,24,0.6444444444444444,0.7212121212121211,10
no_gridc,0.2,0.15,advi,True,True,False,,,0.5072463768115942,0.6443478260869565,24,0.6888888888888888,0.7696969696969697,10
nuts_recent,0.2,0.15,nuts,True,True,True,2023,2023,-0.021739130434782608,-0.0017391304347826085,24,0.3333333333333333,0.4424242424242424,10
